subject,stimulus,round,dil_mean_bilateral,cognitive_load_mean,hr_mean,gaze_dev_variance,gaze_dev_median,openness_frac,closure_frac,pct_time_closed,duration_s,effective_hz,gaze_deg_median,gaze_deg_p90,gaze_pct_beyond_10deg,gaze_excursion_rate_10deg_per_min,gaze_deg_median_subject
S01,BOR,1,2.96459598529,0.571258327824,79.4072543618,0.0107842078986,0.148497449904,0.904,0.096,8.95316804408,732.9,2.99401197602,15.3543968349,26.2970690641,79.847715736,9.65971340122,10.7339611622
S01,CLC,1,3.21186217079,0.599619768242,77.1009637448,0.00739283780075,0.11903780912,0.954,0.046,4.31390546122,733,2.99401197602,7.08569107679,19.3019016358,30.1587301587,16.6170066468,8.29118058993
S01,INT,1,2.88737145557,0.506990623727,76.2474541752,0.00858282465875,0.136257009847,0.926,0.074,6.97556008147,661.1,2.99401197602,9.19540975616,20.8935473604,45.62946674,13.8862417295,8.07988877677
S02,BOR,1,3.4959007483,0.421736980959,68.307973665,0.00953065061937,0.185243758329,0.805,0.195,17.9224579371,914.3,3.00300300301,13.2915798551,23.9465991946,66.3334847796,11.5503627536,10.5333205939
S02,CLC,1,3.62450116223,0.499066908689,70.0651693667,0.0103347069616,0.167077826177,0.796,0.204,18.9617083947,908.7,3.00300300288,10.5781568018,23.6686599354,52.799629801,14.8565353899,10.8068922716
S02,INT,1,3.59970275916,0.471481480363,67.5026435045,0.0108497077248,0.165512084151,0.937,0.063,5.24924471299,885.8,3.00300300301,14.4113764103,27.638079577,81.6203143894,9.48334938353,9.26262392629
S03,BOR,1,3.06636286403,0.520318721513,86.390070922,0.0094745823527,0.198297755913,0.823,0.177,15.8865248227,707.4,3.00300300301,11.2522449133,21.369396204,57.1264367816,21.2890475908,11.2137502109
S03,CLC,1,3.0981248372,0.565019569288,87.9583853516,0.00855660471424,0.188436226795,0.937,0.063,5.36828963795,803.8,3.00300300288,11.5521456789,20.0908610952,59.5914742451,22.3923209267,11.0115119159
S03,INT,1,3.56273225743,0.485450672203,95.8778700537,0.00889440595004,0.167919488119,0.867,0.133,12.1641426478,684.7,3.00300300288,10.3992882175,20.6163028519,52.0856820744,25.9375337728,9.76451555384
S04,BOR,1,2.91097288492,0.595359283461,98.4739183178,0.0169382654317,0.205063405581,0.916,0.084,8.1682167408,826.8,3.00300300301,14.7654437423,26.0599051473,67.9170344219,16.472751022,12.744219688
S04,CLC,1,3.34825748441,0.637413720756,95.9960614415,0.0101382823608,0.280688439377,0.951,0.049,4.84442693974,849.5,3.00300300301,16.0855301185,24.655066247,84.3892339545,14.0559223228,16.0377217766
S04,INT,1,3.13173740749,0.547491934692,94.3189882975,0.0151795033656,0.196053564109,0.948,0.052,4.98301245753,886.3,3.00300300301,12.285310819,26.1074024014,62.7388535032,22.205372617,11.2736350221
S05,BOR,1,3.21932954417,0.664864258541,57.7666523421,0.00858120563743,0.173011560307,0.212,0.788,77.8152678195,793.3,3.00300300301,11.2384910776,25.0716223629,62.4254473161,4.91634647385,9.53408217079
S05,CLC,1,3.22895257973,0.54134924614,63.324828263,0.0109696424805,0.135235900815,0.865,0.135,11.5803814714,737,3.00300300288,9.16401981223,18.3140978075,43.2545931759,18.7247622769,12.9314704176
S05,INT,1,3.32115745159,0.565651082821,58.6818181818,0.00676518165407,0.13506015885,0.852,0.148,13.9401394014,815.5,3.00300300288,12.3392569554,22.4581086175,68.8493018777,16.4139756784,8.78428934969
