subject,stimulus,threshold,start_s,duration_s,n_samples,kind
R2-01,BOR,0.5,1.386915,0.260703,31,blink
R2-01,BOR,0.5,9.451335,0.285939,34,blink
R2-01,BOR,0.5,14.976205,0.227015,27,blink
R2-01,BOR,0.5,47.017257,0.243931,29,blink
R2-01,BOR,0.5,58.497293,0.659894,83,extended
R2-01,BOR,0.5,60.363464,0.327743,39,blink
R2-01,BOR,0.5,66.380962,0.292084,35,blink
R2-01,BOR,0.5,75.369119,0.168837,20,blink
R2-01,BOR,0.5,86.491458,0.326717,39,blink
R2-01,BOR,0.5,91.023452,0.293177,35,blink
R2-01,BOR,0.5,95.422194,0.318187,38,blink
R2-01,BOR,0.5,101.662836,0.276546,33,blink
R2-01,BOR,0.5,106.701695,0.136611,16,blink
R2-01,BOR,0.5,107.527545,0.193288,23,blink
R2-01,BOR,0.5,112.950147,0.310432,37,blink
R2-01,BOR,0.5,119.79118,0.218607,26,blink
R2-01,BOR,0.5,120.383436,0.367223,44,blink
R2-01,BOR,0.5,123.731958,0.326674,39,blink
R2-01,BOR,0.5,126.082139,0.325357,39,blink
R2-01,BOR,0.5,128.788912,0.30983,37,blink
R2-01,BOR,0.5,129.379775,0.302165,36,blink
R2-01,BOR,0.5,131.087136,0.302349,36,blink
R2-01,BOR,0.5,133.053378,0.16937,20,blink
R2-01,BOR,0.5,148.918249,0.225841,27,blink
R2-01,BOR,0.5,155.257154,0.18543,22,blink
R2-01,BOR,0.5,162.313793,0.276962,33,blink
R2-01,BOR,0.5,166.737491,0.152076,18,blink
R2-01,BOR,0.5,179.589301,0.205197,25,blink
R2-01,BOR,0.5,187.782472,0.25872,31,blink
R2-01,BOR,0.5,189.48066,0.20176,26,blink
R2-01,BOR,0.5,192.772751,0.301487,36,blink
R2-01,BOR,0.5,200.48108,0.249818,30,blink
R2-01,BOR,0.5,204.92884,0.092949,11,blink
R2-01,BOR,0.5,211.478895,0.29799,36,blink
R2-01,BOR,0.5,215.499175,0.294352,35,blink
R2-01,BOR,0.5,226.580292,0.217579,26,blink
R2-01,BOR,0.5,239.285651,0.205694,24,blink
R2-01,BOR,0.5,244.70208,0.375776,45,blink
R2-01,BOR,0.5,253.556187,0.26082,36,blink
R2-01,BOR,0.5,259.014123,0.251242,30,blink
R2-01,BOR,0.5,264.636748,0.252628,30,blink
R2-01,BOR,0.5,271.694506,0.144207,17,blink
R2-01,BOR,0.5,279.541591,0.277369,34,blink
R2-01,BOR,0.5,285.782476,0.185368,22,blink
R2-01,BOR,0.5,286.731186,0.236354,28,blink
R2-01,BOR,0.5,288.064131,0.8273,99,extended
R2-01,BOR,0.5,289.064684,0.559746,67,extended
R2-01,BOR,0.5,290.498104,3.875431,465,extended
R2-01,BOR,0.5,294.574191,0.348241,45,blink
R2-01,BOR,0.5,295.0217,0.493099,59,blink
R2-01,BOR,0.5,296.146599,1.200446,144,extended
R2-01,BOR,0.5,298.253198,0.252856,30,blink
R2-01,BOR,0.5,303.669202,0.318476,38,blink
R2-01,BOR,0.5,308.175693,0.195139,23,blink
R2-01,BOR,0.5,308.826962,0.367821,44,blink
R2-01,BOR,0.5,315.316694,0.260217,31,blink
R2-01,BOR,0.5,316.299717,0.834526,100,extended
R2-01,BOR,0.5,317.274118,1.109929,133,extended
R2-01,BOR,0.5,318.564761,0.768016,92,extended
R2-01,BOR,0.5,319.906105,1.467773,176,extended
R2-01,BOR,0.5,322.080941,0.41574,48,blink
R2-01,BOR,0.5,324.090195,0.176173,21,blink
R2-01,BOR,0.5,325.414375,0.325986,39,blink
R2-01,BOR,0.5,344.324912,0.269332,32,blink
R2-01,BOR,0.5,345.126812,0.317677,38,blink
R2-01,BOR,0.5,345.707898,0.719485,86,extended
R2-01,BOR,0.5,346.641331,0.260434,31,blink
R2-01,BOR,0.5,347.140894,0.32026,38,blink
R2-01,BOR,0.5,351.956269,0.244204,29,blink
R2-01,BOR,0.5,353.59849,0.276525,33,blink
R2-01,BOR,0.5,358.472448,0.218631,26,blink
R2-01,BOR,0.5,361.954882,0.227233,27,blink
R2-01,BOR,0.5,364.77912,0.304212,36,blink
R2-01,BOR,0.5,368.744722,0.243649,29,blink
R2-01,BOR,0.5,371.854333,0.208385,25,blink
R2-01,BOR,0.5,375.135245,0.175213,21,blink
R2-01,BOR,0.5,375.376644,0.216912,26,blink
R2-01,BOR,0.5,376.992249,0.243353,29,blink
R2-01,BOR,0.5,379.607781,0.286579,34,blink
R2-01,BOR,0.5,405.810384,0.243684,29,blink
R2-01,BOR,0.5,408.768376,0.233386,28,blink
R2-01,BOR,0.5,409.367043,0.284738,34,blink
R2-01,BOR,0.5,411.324564,0.294384,35,blink
R2-01,BOR,0.5,412.116742,1.301545,156,extended
R2-01,BOR,0.5,413.558868,0.325909,39,blink
R2-01,BOR,0.5,416.573242,0.243807,29,blink
R2-01,BOR,0.5,417.198096,0.219732,26,blink
R2-01,BOR,0.5,418.914328,0.144917,17,blink
R2-01,BOR,0.5,423.614632,0.226268,27,blink
R2-01,BOR,0.5,428.37031,0.252787,30,blink
R2-01,BOR,0.5,430.719714,0.277947,33,blink
R2-01,BOR,0.5,435.526796,0.236061,28,blink
R2-01,BOR,0.5,438.717987,0.269405,32,blink
R2-01,BOR,0.5,440.1257,1.210192,145,extended
R2-01,BOR,0.5,443.292571,0.276709,33,blink
R2-01,BOR,0.5,445.708591,0.235357,29,blink
R2-01,BOR,0.5,446.485623,0.184509,25,blink
R2-01,BOR,0.5,446.95956,0.15918,19,blink
R2-01,BOR,0.5,449.390913,0.393136,47,blink
R2-01,BOR,0.5,463.438389,0.22597,27,blink
R2-01,BOR,0.5,469.777614,0.202001,24,blink
R2-01,BOR,0.5,473.745186,0.049688,6,blink
R2-01,BOR,0.5,476.091537,0.244802,29,blink
