stimulus,round,channel,pct_of_episode,median,q1,q3,n_subjects
INT,1,eye openness,0.5,0.943778110945,0.874285714286,0.972222222222,8
INT,1,eye openness,1.5,0.921296296297,0.85,0.971153846154,8
INT,1,eye openness,2.5,0.939799331104,0.832380952381,0.963601532567,8
INT,1,eye openness,3.5,0.954166666666,0.909698996656,1,8
INT,1,eye openness,4.5,0.975,0.892380952381,1,8
INT,1,eye openness,5.5,0.959030100334,0.946557971014,0.971153846154,8
INT,1,eye openness,6.5,0.940235690236,0.851190476191,1,8
INT,1,eye openness,7.5,0.9372909699,0.825,0.974137931034,8
INT,1,eye openness,8.5,0.834782608696,0.733666061706,0.916264090177,8
INT,1,eye openness,9.5,0.894688644689,0.858275862069,0.919318181818,8
INT,1,eye openness,10.5,0.952850877193,0.897282608696,0.971153846154,8
INT,1,eye openness,11.5,0.957427536232,0.931677018633,0.961894586894,8
INT,1,eye openness,12.5,0.904545454546,0.789655172414,0.944444444444,8
INT,1,eye openness,13.5,0.892053973013,0.817481884058,0.961894586894,8
INT,1,eye openness,14.5,0.858974358974,0.79047976012,0.915740740741,8
INT,1,eye openness,15.5,0.901538461539,0.827211394303,0.953240740741,8
INT,1,eye openness,16.5,0.893997445721,0.83152173913,0.971153846154,8
INT,1,eye openness,17.5,0.904545454546,0.868065967016,0.94,8
INT,1,eye openness,18.5,0.937962962963,0.829545454545,1,8
INT,1,eye openness,19.5,0.934782608696,0.872916666667,0.972222222222,8
INT,1,eye openness,20.5,0.930641821946,0.820689655173,1,8
INT,1,eye openness,21.5,0.913043478261,0.897222222222,0.950910931174,8
INT,1,eye openness,22.5,0.980769230769,0.895962732919,1,8
INT,1,eye openness,23.5,0.892720306513,0.864673913043,0.972222222222,8
INT,1,eye openness,24.5,0.9047976012,0.819940476191,0.96052631579,8
INT,1,eye openness,25.5,0.888275862069,0.843434343434,0.9125,8
INT,1,eye openness,26.5,0.93152173913,0.859913793104,0.971153846154,8
INT,1,eye openness,27.5,0.951945080092,0.915667166417,0.972222222222,8
INT,1,eye openness,28.5,0.939799331104,0.866459627329,0.962225274725,8
INT,1,eye openness,29.5,0.93152173913,0.771551724138,0.959490740741,8
INT,1,eye openness,30.5,0.896321070234,0.808571428571,0.936842105263,8
INT,1,eye openness,31.5,0.937962962963,0.817481884058,0.972222222222,8
INT,1,eye openness,32.5,0.956959706959,0.845643939394,0.962225274725,8
INT,1,eye openness,33.5,0.865817091454,0.838888888889,0.9,8
INT,1,eye openness,34.5,0.9125,0.839673913043,0.971153846154,8
INT,1,eye openness,35.5,0.908902691511,0.833703703704,0.934782608696,8
INT,1,eye openness,36.5,0.933333333333,0.899137931035,0.965909090909,8
INT,1,eye openness,37.5,0.891534391534,0.845833333333,0.963601532567,8
INT,1,eye openness,38.5,0.925629290618,0.860227272727,0.961538461538,8
INT,1,eye openness,39.5,0.975,0.903532608696,1,8
INT,1,eye openness,40.5,0.975,0.921474358975,1,8
INT,1,eye openness,41.5,0.830687830688,0.797368421053,0.958132045088,8
INT,1,eye openness,42.5,0.936538461538,0.9,0.957775919732,8
INT,1,eye openness,43.5,0.885093167702,0.850427350427,0.961379310345,8
INT,1,eye openness,44.5,0.937962962963,0.809210526315,0.965909090909,8
INT,1,eye openness,45.5,0.873342175066,0.817857142857,0.913949275363,8
INT,1,eye openness,46.5,0.891304347826,0.8175,0.952884615384,8
INT,1,eye openness,47.5,0.906521739131,0.889805097451,0.961894586894,8
INT,1,eye openness,48.5,0.906521739131,0.830357142857,0.934782608696,8
INT,1,eye openness,49.5,0.902307692307,0.81784107946,0.96052631579,8
INT,1,eye openness,50.5,0.95652173913,0.822916666667,0.972222222222,8
INT,1,eye openness,51.5,0.95,0.905909090909,0.957775919732,8
INT,1,eye openness,52.5,0.896825396825,0.860507246377,0.949162679426,8
INT,1,eye openness,53.5,0.863929146538,0.797916666667,0.929807692308,8
INT,1,eye openness,54.5,0.915343915344,0.895,0.957775919732,8
INT,1,eye openness,55.5,0.877090301003,0.84392014519,0.906481481481,8
INT,1,eye openness,56.5,0.908902691511,0.83125,0.923076923077,8
INT,1,eye openness,57.5,0.884782608695,0.811111111111,0.953240740741,8
INT,1,eye openness,58.5,0.900462962963,0.842650103519,0.96052631579,8
INT,1,eye openness,59.5,0.850925925926,0.845833333333,0.911544227886,8
INT,1,eye openness,60.5,0.881118881119,0.712413793103,0.971153846154,8
INT,1,eye openness,61.5,0.888888888889,0.848932676519,0.903260869565,8
INT,1,eye openness,62.5,0.953260869565,0.917307692308,1,8
INT,1,eye openness,63.5,0.914855072464,0.894636015326,0.933574879227,8
INT,1,eye openness,64.5,0.865817091454,0.793269230769,0.902173913043,8
