surface,scope,pair,n,wilcoxon_p,effect_rb,n_first_lower,direction,median_diff,poolable,holm_p,significant
% time eyes closed,R2 only,BORvCLC,4,0.125,1,0,0/4,7.83953827304,False,0.375,False
% time eyes closed,R2 only,BORvINT,4,0.125,1,0,0/4,6.75421565199,False,0.375,False
% time eyes closed,R2 only,CLCvINT,4,0.625,-0.4,2,2/4,-0.944036199304,False,0.625,False
EEG DMN power (alpha+theta),R1 only (N=8),BORvCLC,8,0.078125,0.722222222222,2,2/8,6.01270793422,,0.234375,False
EEG DMN power (alpha+theta),R1 only (N=8),BORvINT,8,0.078125,0.722222222222,2,2/8,7.01379004265,,0.234375,False
EEG DMN power (alpha+theta),R1 only (N=8),CLCvINT,8,0.546875,0.277777777778,3,3/8,1.68643389788,,0.546875,False
EEG frontal alpha,R1 only (N=8),BORvCLC,8,0.25,-0.5,5,5/8,-0.159259631931,,0.75,False
EEG frontal alpha,R1 only (N=8),BORvINT,8,0.25,-0.5,6,6/8,-0.175648303502,,0.75,False
EEG frontal alpha,R1 only (N=8),CLCvINT,8,0.640625,0.222222222222,4,4/8,0.0897444093244,,0.75,False
EEG frontal theta,R1 only (N=8),BORvCLC,8,0.7421875,0.166666666667,4,4/8,0.346460117742,,1,False
EEG frontal theta,R1 only (N=8),BORvINT,8,0.84375,0.111111111111,5,5/8,-0.808439503144,,1,False
EEG frontal theta,R1 only (N=8),CLCvINT,8,0.3125,0.444444444444,3,3/8,0.893042166057,,0.9375,False
EEG parietal alpha,R1 only (N=8),BORvCLC,8,0.0390625,0.833333333333,2,2/8,2.94781311389,,0.1171875,False
EEG parietal alpha,R1 only (N=8),BORvINT,8,0.0390625,0.833333333333,2,2/8,4.78374208088,,0.1171875,False
EEG parietal alpha,R1 only (N=8),CLCvINT,8,0.7421875,-0.166666666667,4,4/8,0.408418712688,,0.7421875,False
EEG parietal theta,R1 only (N=8),BORvCLC,8,0.7421875,0.166666666667,4,4/8,0.855949323766,,1,False
EEG parietal theta,R1 only (N=8),BORvINT,8,0.4609375,0.333333333333,3,3/8,1.54846488327,,1,False
EEG parietal theta,R1 only (N=8),CLCvINT,8,0.640625,0.222222222222,3,3/8,2.35736866007,,1,False
HR,POOLED N=12,BORvCLC,10,0.431640625,0.309090909091,4,4/10,1.44439292504,True,1,False
HR,POOLED N=12,BORvINT,10,1,0.0181818181818,4,4/10,1.55807369812,True,1,False
HR,POOLED N=12,CLCvINT,12,0.90966796875,-0.0512820512821,5,5/12,1.08217332719,True,1,False
HR,R1-asis,BORvCLC,8,0.546875,0.277777777778,3,3/8,1.73214691539,True,0.75,False
HR,R1-asis,BORvINT,8,0.3125,0.444444444444,2,2/8,2.39266949349,True,0.75,False
HR,R1-asis,CLCvINT,8,0.25,0.5,2,2/8,1.49395511437,True,0.75,False
HR,R1-unified,BORvCLC,8,0.546875,0.277777777778,3,3/8,1.73214691539,True,0.75,False
HR,R1-unified,BORvINT,8,0.3125,0.444444444444,2,2/8,2.38982876716,True,0.75,False
HR,R1-unified,CLCvINT,8,0.25,0.5,2,2/8,1.49395511437,True,0.75,False
blink rate,R2 only,BORvCLC,4,0.375,0.6,1,1/4,2.30465677109,False,1,False
