subject,stimulus,threshold,start_s,duration_s,n_samples,kind
R2-01,BOR,0.5,6.273334,0.392311,47,blink
R2-01,BOR,0.5,11.204512,32.768836,3933,extended
R2-01,BOR,0.5,47.819989,0.221434,26,blink
R2-01,BOR,0.5,50.351933,0.260703,31,blink
R2-01,BOR,0.5,58.416353,0.285939,34,blink
R2-01,BOR,0.5,63.941223,0.227015,27,blink
R2-01,BOR,0.5,95.982275,0.243931,29,blink
R2-01,BOR,0.5,107.462311,0.659894,83,extended
R2-01,BOR,0.5,109.328482,0.327743,39,blink
R2-01,BOR,0.5,115.34598,0.292084,35,blink
R2-01,BOR,0.5,124.334137,0.168837,20,blink
R2-01,BOR,0.5,135.456476,0.326717,39,blink
R2-01,BOR,0.5,139.98847,0.293177,35,blink
R2-01,BOR,0.5,144.387212,0.318187,38,blink
R2-01,BOR,0.5,150.627854,0.276546,33,blink
R2-01,BOR,0.5,155.666713,0.136611,16,blink
R2-01,BOR,0.5,156.492563,0.193288,23,blink
R2-01,BOR,0.5,161.915165,0.310432,37,blink
R2-01,BOR,0.5,168.756198,0.218607,26,blink
R2-01,BOR,0.5,169.348454,0.367223,44,blink
R2-01,BOR,0.5,172.696976,0.326674,39,blink
R2-01,BOR,0.5,175.047157,0.325357,39,blink
R2-01,BOR,0.5,177.75393,0.30983,37,blink
R2-01,BOR,0.5,178.344793,0.302165,36,blink
R2-01,BOR,0.5,180.052154,0.302349,36,blink
R2-01,BOR,0.5,182.018396,0.16937,20,blink
R2-01,BOR,0.5,197.883267,0.225841,27,blink
R2-01,BOR,0.5,204.222172,0.18543,22,blink
R2-01,BOR,0.5,211.278811,0.276962,33,blink
R2-01,BOR,0.5,215.702509,0.152076,18,blink
R2-01,BOR,0.5,228.554319,0.205197,25,blink
R2-01,BOR,0.5,236.74749,0.25872,31,blink
R2-01,BOR,0.5,238.445678,0.20176,26,blink
R2-01,BOR,0.5,241.737769,0.301487,36,blink
R2-01,BOR,0.5,249.446098,0.249818,30,blink
R2-01,BOR,0.5,253.893858,0.092949,11,blink
R2-01,BOR,0.5,260.443913,0.29799,36,blink
R2-01,BOR,0.5,264.464193,0.294352,35,blink
R2-01,BOR,0.5,275.54531,0.217579,26,blink
R2-01,BOR,0.5,288.250669,0.205694,24,blink
R2-01,BOR,0.5,293.667098,0.375776,45,blink
R2-01,BOR,0.5,302.521205,0.26082,36,blink
R2-01,BOR,0.5,307.979141,0.251242,30,blink
R2-01,BOR,0.5,313.601766,0.252628,30,blink
R2-01,BOR,0.5,320.659524,0.144207,17,blink
R2-01,BOR,0.5,328.506609,0.277369,34,blink
R2-01,BOR,0.5,334.747494,0.185368,22,blink
R2-01,BOR,0.5,335.696204,0.236354,28,blink
R2-01,BOR,0.5,337.029149,0.8273,99,extended
R2-01,BOR,0.5,338.029702,0.559746,67,extended
R2-01,BOR,0.5,339.463122,3.875431,465,extended
R2-01,BOR,0.5,343.539209,0.348241,45,blink
R2-01,BOR,0.5,343.986718,0.493099,59,blink
R2-01,BOR,0.5,345.111617,1.200446,144,extended
R2-01,BOR,0.5,347.218216,0.252856,30,blink
R2-01,BOR,0.5,352.63422,0.318476,38,blink
R2-01,BOR,0.5,357.140711,0.195139,23,blink
R2-01,BOR,0.5,357.79198,0.367821,44,blink
R2-01,BOR,0.5,364.281712,0.260217,31,blink
R2-01,BOR,0.5,365.264735,0.834526,100,extended
R2-01,BOR,0.5,366.239136,1.109929,133,extended
R2-01,BOR,0.5,367.529779,0.768016,92,extended
R2-01,BOR,0.5,368.871123,1.467773,176,extended
R2-01,BOR,0.5,371.045959,0.41574,48,blink
R2-01,BOR,0.5,373.055213,0.176173,21,blink
R2-01,BOR,0.5,374.379393,0.325986,39,blink
R2-01,BOR,0.5,393.28993,0.269332,32,blink
R2-01,BOR,0.5,394.09183,0.317677,38,blink
R2-01,BOR,0.5,394.672916,0.719485,86,extended
R2-01,BOR,0.5,395.606349,0.260434,31,blink
R2-01,BOR,0.5,396.105912,0.32026,38,blink
R2-01,BOR,0.5,400.921287,0.244204,29,blink
R2-01,BOR,0.5,402.563508,0.276525,33,blink
R2-01,BOR,0.5,407.437466,0.218631,26,blink
R2-01,BOR,0.5,410.9199,0.227233,27,blink
R2-01,BOR,0.5,413.744138,0.304212,36,blink
R2-01,BOR,0.5,417.70974,0.243649,29,blink
R2-01,BOR,0.5,420.819351,0.208385,25,blink
R2-01,BOR,0.5,424.100263,0.175213,21,blink
R2-01,BOR,0.5,424.341662,0.216912,26,blink
R2-01,BOR,0.5,425.957267,0.243353,29,blink
R2-01,BOR,0.5,428.572799,0.286579,34,blink
R2-01,BOR,0.5,454.775402,0.243684,29,blink
R2-01,BOR,0.5,457.733394,0.233386,28,blink
R2-01,BOR,0.5,458.332061,0.284738,34,blink
R2-01,BOR,0.5,460.289582,0.294384,35,blink
R2-01,BOR,0.5,461.08176,1.301545,156,extended
R2-01,BOR,0.5,462.523886,0.325909,39,blink
R2-01,BOR,0.5,465.53826,0.243807,29,blink
R2-01,BOR,0.5,466.163114,0.219732,26,blink
R2-01,BOR,0.5,467.879346,0.144917,17,blink
R2-01,BOR,0.5,472.57965,0.226268,27,blink
R2-01,BOR,0.5,477.335328,0.252787,30,blink
R2-01,BOR,0.5,479.684732,0.277947,33,blink
R2-01,BOR,0.5,484.491814,0.236061,28,blink
R2-01,BOR,0.5,487.683005,0.269405,32,blink
R2-01,BOR,0.5,489.090718,1.210192,145,extended
R2-01,BOR,0.5,492.257589,0.276709,33,blink
R2-01,BOR,0.5,494.673609,0.235357,29,blink
R2-01,BOR,0.5,495.450641,0.184509,25,blink
R2-01,BOR,0.5,495.924578,0.15918,19,blink
R2-01,BOR,0.5,498.355931,0.393136,47,blink
R2-01,BOR,0.5,512.403407,0.22597,27,blink
R2-01,BOR,0.5,518.742632,0.202001,24,blink
R2-01,BOR,0.5,522.710204,0.0496880000001,6,blink
R2-01,BOR,0.5,525.056555,0.244802,29,blink
R2-01,BOR,0.5,545.609728,0.277433,33,blink
