subject,stimulus,round,variant,window,n_samples,duration_s,sample_rate_mean_hz,sample_rate_median_hz,effective_hz,decimation_step,high_rate_flag,pct_valid_gaze,timestamp_rows_dropped,format_note,cognitive_load_mean,cognitive_load_slope,cognitive_load_delta,hr_mean,hr_slope,hr_delta,left_eye_dilation_mean,left_eye_dilation_delta,right_eye_dilation_mean,right_eye_dilation_delta,eye_gaze_deviation_mean,gaze_dev_median,gaze_dev_variance,dil_mean_bilateral,gaze_dev_variance_dec3hz,cognitive_load_sd_vendor,openness_mean_left,openness_mean_right,openness_mean_bilateral,pct_time_closed,openness_frac_bilateral,closure_episodes_n,blink_n,blink_rate_per_min,blink_mean_ms,interblink_median_s,extended_closure_n,extended_closure_total_s,longest_closure_s,worn_window_start_s,worn_window_end_s,worn_duration_s,nonwear_trimmed_s,openness_mean_bilateral_trimmed,pct_time_closed_trimmed,imu_n,imu_acc_mag_mean,imu_acc_mag_sd,imu_gyro_mag_mean,imu_gyro_mag_sd,imu_gyro_mag_median,imu_acc_jerk_mean
R2-01,BOR,2,native,full,132811,1106.467769,120.03151264,120.048019208,120.048019208,1,False,75.7640556882,0,full-window;no-crop-export,0.529869192779,2.70360184413e-05,0.0410200367925,,,,2.88247511275,-0.182029832925,2.75410150159,-0.195649609079,0.201640142326,0.180532105792,0.012287364579,2.81828830717,0.0102618548772,0.14124443259,0.792208476708,0.751376015541,0.771792246124,20.5013138972,0.794986861028,229,197,10.6826428489,265.517898477,4.148647,32,174.76039,32.768836,43.973348,1076.251525,1032.278177,74.189592,0.816791089948,15.8355191477,1107200,1.0192195429,0.0095847228255,3.47503499663,6.61483213156,1.3524896059,0.00156252547183
R2-01,CLC,2,native,full,133667,1113.668454,120.024051611,120.148984741,120.148984741,1,False,90.9267059184,0,full-window;no-crop-export,0.520487286587,-0.000218330499649,-0.162094248348,58.3653846154,0.000913609387472,1.46376811594,2.86378107507,-0.140658504845,2.6838542191,-0.122933578915,0.182917568987,0.168730934347,0.0113340353903,2.77381764708,0.00862743758301,0.129125853944,0.908878032723,0.907112451091,0.907995241907,9.05758339755,0.909424166025,119,116,6.24961583046,264.835689655,6.105338,3,70.21203,36.292106,37.598347,1077.043224,1039.444877,74.223577,0.969128232258,2.94009201815,1117820,1.01926832633,0.00934117731068,4.09094880465,9.06859596273,1.38649415003,0.0013465328848
R2-01,INT,2,native,full,140143,1167.563311,120.03032185,120.12012012,120.12012012,1,False,86.4345704031,1,full-window;no-crop-export,0.537833143234,-5.406040963e-05,-0.042861629023,64.1531531532,0.000508498429629,0.891891891892,3.15446303667,-0.214808944065,2.99554349188,-0.171835101583,0.17334030847,0.141716476116,0.0133342284076,3.07500326427,0.00987487157618,0.12932360667,0.867712748498,0.856588317564,0.862150533031,13.0794973705,0.869197890726,304,294,15.1083884136,265.734979592,2.506978,10,75.1288,34.351007,0,1132.803036,1132.803036,34.760275,0.888412885195,10.4317128778,,,,,,,
R2-02,BOR,2,native,full,132869,1106.951386,120.031468121,120.033609411,120.033609411,1,False,69.9523590905,0,full-window;no-crop-export,0.471330339342,-6.99386757069e-05,-0.0257769037736,,,,3.5155804404,-0.0971996106427,3.30575155244,-0.140076450384,0.206461832315,0.194338830954,0.0114349703609,3.41066599642,0.00821526697344,0.146662765423,0.700614891359,0.724104192852,0.712359542105,25.9435985821,0.740564014179,170,108,5.85391561179,223.707833333,5.61594,62,263.103337,33.699311,47.121959,1073.260406,1026.138447,80.812939,0.755015466554,21.4680642045,,,,,,,
R2-02,CLC,2,native,full,133361,1111.049864,120.031516425,120.033609411,120.033609411,1,False,91.168332571,0,full-window;no-crop-export,0.46763049009,-0.000128754254674,-0.0835841888889,69.5437788018,-0.00169722223215,-1.19444444444,4.14203247491,0.0861986167449,3.85549666098,0.0734917860531,0.161968588995,0.141068174577,0.00967863425003,3.99876456794,0.00651310954464,0.129064543984,0.906553689262,0.910872825435,0.908713257349,8.81217147442,0.911870786812,139,126,6.80437507348,214.995325397,6.05696,13,71.016986,32.389213,48.279803,1078.660618,1030.380815,80.669049,0.963837545885,3.28029237213,1115197,1.01909250699,0.0119065016717,6.02953135671,13.4201988068,1.43923143765,0.00133550479776
R2-02,INT,2,native,full,134305,1118.966983,120.025882837,120.004800192,120.004800192,1,False,91.8119206284,0,full-window;no-crop-export,0.518203955611,-5.10123024863e-05,-0.0227694828313,67.3870967742,-0.00142299365456,-2.18055555556,3.27897967371,0.167820345405,3.32482369744,0.208168376331,0.176124367775,0.148212810614,0.0122420691844,3.30190168557,0.00908208028784,0.128251832285,0.915214736717,0.917128305933,0.916171521325,8.15308439745,0.918461710286,95,84,4.50415434644,193.410047619,9.530005,11,75.152811,35.535931,41.073286,1073.642307,1032.569021,86.397962,0.976862871667,2.06963327551,1123119,1.02154060725,0.00734479506103,3.98183919097,8.64619833787,1.2933508751,0.00174069216102
R2-03,BOR,2,native,full,148653,1238.499884,120.026656377,120.134550697,120.134550697,1,False,85.1170174837,0,full-window;no-crop-export,0.558786380246,-5.95251614693e-05,-0.0240698,78.7041666667,0.00386904274132,2.925,3.95422624367,-0.174089960314,3.80517037495,-0.187360747993,0.147503500053,0.128298153116,0.008093826179,3.87969830931,0.00603116827942,0.141468523591,0.850779000619,0.839679250868,0.845229125743,14.8829825163,0.851163447761,506,503,24.3681896057,238.735005964,1.5357215,3,64.662177,32.203251,0,1206.592189,1206.592189,31.907695,0.867582273411,12.6320586651,1243156,1.02061749443,0.0101600009119,4.76987019184,6.90679405242,2.0472442189,0.00168372064197
R2-03,CLC,2,native,full,157434,1311.726292,120.020465367,120.134550697,120.134550697,1,False,89.3523635301,0,full-window;no-crop-export,0.537916815452,-4.10014814541e-06,-0.00241579841689,76.9733840304,-0.00463818297283,-4.32183908046,3.89911673384,0.0700271765221,3.75834807528,0.0970347694639,0.13274709117,0.118965587052,0.00627227850711,3.82873240456,0.00414122223913,0.134960100939,0.892971022778,0.886523876672,0.889747449725,10.6476364699,0.893523635301,325,323,14.7744236875,232.717770898,2.241032,2,64.544247,32.617815,0,1269.936542,1269.936542,41.78975,0.912425041662,8.37040244591,1316614,1.02008551861,0.010845639745,5.14891298195,7.35734200426,2.31377837806,0.001994754039
R2-03,INT,2,native,full,291609,2429.452508,120.030747273,120.062432465,120.062432465,1,False,91.063033034,0,full-window;no-crop-export,0.564781367412,-2.34604696161e-05,-0.0480738225,88.3388773389,-0.000275652577219,-0.4125,4.34370259323,-0.446972182641,3.9171201932,-0.404767273428,0.143570991741,0.12609604979,0.00749695178669,4.13041139322,0.00487645495831,0.154206676575,0.909286064559,0.899276085443,0.904281075001,8.79636773899,0.91203632261,592,582,14.3736088213,232.320890034,2.532056,10,78.779751,32.285687,0,2396.225059,2396.225059,33.227449,0.916423001102,7.57142211452,,,,,,,
R2-04,BOR,2,native,full,131937,1099.307927,120.01823762,120.10569301,120.10569301,1,False,86.8816177418,0,full-window;no-crop-export,0.473266306531,0.000224634121315,0.149490052454,72.971291866,-0.00393134628963,-3.34782608696,3.69474695278,-0.209894501575,3.8667993566,-0.241072973688,0.145986101908,0.12182053359,0.00975656203734,3.78077315469,0.00790068265609,0.152843518469,0.870832291169,0.866860698667,0.868846494918,12.6461871954,0.873538128046,301,292,15.9372997953,239.004719178,1.599722,9,69.671419,32.017707,39.674464,1059.907821,1020.233357,79.07457,0.922251441452,7.27259363311,1103458,1.01782419021,0.018209077953,5.22360545068,9.11341046251,1.61257869419,0.00328809592998
