subject,stimulus,round,viewing_order_stated,prior_exposure,prior_exposure_source,notes,fatigue_prior,fatigue_prior_raw,boredom,boredom_raw,engagement,engagement_raw,minutes_until_bored,minutes_until_bored_raw,sleep_fight,sleep_fight_raw,felt_duration_min,felt_duration_min_raw,fatigue_after,fatigue_after_raw,fatigue_prior_confidence,boredom_confidence,engagement_confidence,minutes_until_bored_confidence,sleep_fight_confidence,felt_duration_min_confidence,fatigue_after_confidence,felt_duration_ratio,depletion,divergent_selfreport,viewing_order
R2-01,BOR,2,,1,survey statement,,3,3,8,8,2,2,4,4,7,7,20,20,5,5,exact,exact,exact,exact,exact,exact,exact,1.17647058824,2,False,3
R2-01,CLC,2,,1,survey statement,,2,2,6,6,4,4,7,7,5,5,20,20,3,3,exact,exact,exact,exact,exact,exact,exact,1.17647058824,1,False,2
R2-01,INT,2,,1,survey statement,,2,2,3,3,6,6,13,13,2,2,18,18,3,3,exact,exact,exact,exact,exact,exact,exact,1.05882352941,1,False,1
R2-02,BOR,2,,0,no statement -> assumed none,,6,6,9,9,1,1,0.5,0.5 min,9,9,30,30 min,9,9,exact,exact,exact,exact,exact,exact,exact,1.76470588235,3,False,3
R2-02,CLC,2,,0,no statement -> assumed none,,6,6,8,8,4,4,7,7,7,7,30,30 min,8,8,exact,exact,exact,exact,exact,exact,exact,1.76470588235,2,False,2
R2-02,INT,2,,0,no statement -> assumed none,,5,5,7,7,6,6,5,5,6,6,20,20,7,7,exact,exact,exact,exact,exact,exact,exact,1.17647058824,2,True,1
R2-03,BOR,2,,0,no statement -> assumed none,minutes_until_bored:never_bored,5,5,3,3,6,6,,NA,3,3,20,20,6,6,exact,exact,exact,semantic,exact,exact,exact,1.17647058824,1,False,3
R2-03,CLC,2,,0,no statement -> assumed none,,4,4,1,1,8,8,,,,NA,20,20,5,5,exact,exact,exact,missing,missing,exact,exact,1.17647058824,1,False,2
R2-03,INT,2,,0,no statement -> assumed none,minutes_until_bored:never_bored,3,3,2,2,8,8,,NA,1,1,15,15 min,4,4,exact,exact,exact,semantic,exact,exact,exact,0.882352941176,1,False,1
R2-04,BOR,2,,0,survey statement,,3,3,7,7,1,1,2,2 min,6,6,20,20 min,5,5,exact,exact,exact,exact,exact,exact,exact,1.17647058824,2,False,3
R2-04,CLC,2,,0,survey statement,,3,3,2,2,3,3,7,7,1,1,15,15,3,3,exact,exact,exact,exact,exact,exact,exact,0.882352941176,0,False,2
R2-04,INT,2,,0,survey statement,,2,2,3,3,7,7,8.5,Halfway,4,4,15,15,5,5,exact,exact,exact,converted,exact,exact,exact,0.882352941176,3,False,1
S01,BOR,1,2,0,no statement -> assumed none,,5,5,6,6,3,3,5,5 min,2,2,15,15,5,5,exact,exact,exact,exact,exact,exact,exact,0.882352941176,0,False,2
S01,CLC,1,1,0,no statement -> assumed none,,4,4,3,3,5,5,10,10,2,2,20,20 min,5,5,exact,exact,exact,exact,exact,exact,exact,1.17647058824,1,False,1
