subject,stimulus,bin,pct_of_episode,openness
S01,BOR,0,0.5,0.909090909091
S01,BOR,1,1.5,1
S01,BOR,2,2.5,1
S01,BOR,3,3.5,1
S01,BOR,4,4.5,1
S01,BOR,5,5.5,0.954545454545
S01,BOR,6,6.5,0.818181818182
S01,BOR,7,7.5,0.954545454545
S01,BOR,8,8.5,0.904761904762
S01,BOR,9,9.5,0.909090909091
S01,BOR,10,10.5,0.909090909091
S01,BOR,11,11.5,1
S01,BOR,12,12.5,1
S01,BOR,13,13.5,0.954545454545
S01,BOR,14,14.5,0.954545454545
S01,BOR,15,15.5,0.909090909091
S01,BOR,16,16.5,0.904761904762
S01,BOR,17,17.5,1
S01,BOR,18,18.5,1
S01,BOR,19,19.5,0.818181818182
S01,BOR,20,20.5,0.52380952381
S01,BOR,21,21.5,0.545454545455
S01,BOR,22,22.5,0.818181818182
S01,BOR,23,23.5,0.681818181818
S01,BOR,24,24.5,0.761904761905
S01,BOR,25,25.5,0.954545454545
S01,BOR,26,26.5,0.909090909091
S01,BOR,27,27.5,1
S01,BOR,28,28.5,0.714285714286
S01,BOR,29,29.5,0.590909090909
S01,BOR,30,30.5,0.954545454545
S01,BOR,31,31.5,0.909090909091
S01,BOR,32,32.5,1
S01,BOR,33,33.5,0.954545454545
S01,BOR,34,34.5,1
S01,BOR,35,35.5,1
S01,BOR,36,36.5,0.809523809524
S01,BOR,37,37.5,1
S01,BOR,38,38.5,0.863636363636
S01,BOR,39,39.5,0.954545454545
S01,BOR,40,40.5,0.954545454545
S01,BOR,41,41.5,1
S01,BOR,42,42.5,0.818181818182
S01,BOR,43,43.5,0.909090909091
S01,BOR,44,44.5,0.909090909091
S01,BOR,45,45.5,0.909090909091
S01,BOR,46,46.5,0.809523809524
S01,BOR,47,47.5,0.954545454545
S01,BOR,48,48.5,0.954545454545
S01,BOR,49,49.5,1
S01,BOR,50,50.5,1
S01,BOR,51,51.5,1
S01,BOR,52,52.5,0.772727272727
S01,BOR,53,53.5,0.727272727273
S01,BOR,54,54.5,0.952380952381
S01,BOR,55,55.5,1
S01,BOR,56,56.5,1
S01,BOR,57,57.5,0.954545454545
S01,BOR,58,58.5,1
S01,BOR,59,59.5,0.857142857143
S01,BOR,60,60.5,0.954545454545
S01,BOR,61,61.5,0.909090909091
S01,BOR,62,62.5,0.909090909091
S01,BOR,63,63.5,0.904761904762
S01,BOR,64,64.5,0.681818181818
S01,BOR,65,65.5,0.818181818182
S01,BOR,66,66.5,1
S01,BOR,67,67.5,1
S01,BOR,68,68.5,0.809523809524
S01,BOR,69,69.5,0.909090909091
S01,BOR,70,70.5,0.954545454545
S01,BOR,71,71.5,0.954545454545
S01,BOR,72,72.5,0.954545454545
S01,BOR,73,73.5,0.857142857143
S01,BOR,74,74.5,0.863636363636
S01,BOR,75,75.5,1
S01,BOR,76,76.5,0.909090909091
S01,BOR,77,77.5,0.954545454545
S01,BOR,78,78.5,0.952380952381
S01,BOR,79,79.5,1
S01,BOR,80,80.5,1
S01,BOR,81,81.5,1
S01,BOR,82,82.5,0.857142857143
S01,BOR,83,83.5,0.636363636364
S01,BOR,84,84.5,0.727272727273
S01,BOR,85,85.5,0.409090909091
S01,BOR,86,86.5,0.863636363636
S01,BOR,87,87.5,0.761904761905
S01,BOR,88,88.5,0.909090909091
S01,BOR,89,89.5,1
