subject,stimulus,gaze_deg_median,gaze_deg_p90
R2-01,BOR,10.3674318998,20.807874279
R2-02,BOR,11.7541703009,23.1252178355
R2-03,BOR,10.987646576,23.6678176098
R2-04,BOR,8.68092190582,16.0995292691
S01,BOR,15.3543968349,26.2970690641
S02,BOR,13.2915798551,23.9465991946
S03,BOR,11.2522449133,21.369396204
S04,BOR,14.7654437423,26.0599051473
S05,BOR,11.2384910776,25.0716223629
S06,BOR,20.1677068393,31.2158955924
S07,BOR,13.6468679207,32.480103271
S08,BOR,14.7488036004,19.107018764
R2-01,CLC,9.94038766056,18.8031378758
R2-02,CLC,9.01873745134,20.709508242
R2-03,CLC,9.66128945109,19.3568990477
R2-04,CLC,7.87290470723,16.1475037021
S01,CLC,7.08569107679,19.3019016358
S02,CLC,10.5781568018,23.6686599354
S03,CLC,11.5521456789,20.0908610952
S04,CLC,16.0855301185,24.655066247
S05,CLC,9.16401981223,18.3140978075
S06,CLC,18.8398235053,29.4051761449
S07,CLC,6.74802970029,19.8932077883
S08,CLC,6.9558631527,16.699316935
R2-01,INT,9.16683540488,22.023775601
R2-02,INT,10.463958266,22.4358467802
R2-03,INT,13.6236949082,24.98611876
R2-04,INT,6.38837779251,16.098931027
S01,INT,9.19540975616,20.8935473604
S02,INT,14.4113764103,27.638079577
S03,INT,10.3992882175,20.6163028519
S04,INT,12.285310819,26.1074024014
S05,INT,12.3392569554,22.4581086175
S06,INT,10.3553608906,23.0254920085
S07,INT,11.0763611109,20.7563639352
S08,INT,10.2664179002,20.6549039498
