subject,stimulus,quantity,value
S01,BOR,retained_pct,62.9213483146
S02,BOR,retained_pct,51.0721247563
S03,BOR,retained_pct,74.1873804971
S04,BOR,retained_pct,62.9411764706
S05,BOR,retained_pct,65.7640232108
S06,BOR,retained_pct,63.5294117647
S07,BOR,retained_pct,73.5915492958
S08,BOR,retained_pct,66.0117878193
S01,CLC,retained_pct,56.586270872
S02,CLC,retained_pct,63.188976378
S03,CLC,retained_pct,69.2946058091
S04,CLC,retained_pct,62.0622568093
S05,CLC,retained_pct,46.4730290456
S06,CLC,retained_pct,63.9603960396
S07,CLC,retained_pct,71.3261648746
S08,CLC,retained_pct,36.3461538462
S01,INT,retained_pct,54.3824701195
S02,INT,retained_pct,56.6666666667
S03,INT,retained_pct,74.4282744283
S04,INT,retained_pct,70.4142011834
S05,INT,retained_pct,68.3168316832
S06,INT,retained_pct,70.6502636204
S07,INT,retained_pct,68.0392156863
S08,INT,retained_pct,44.0476190476
S01,BOR,artifact_to_clean_variance_ratio,6.64046916203
S02,BOR,artifact_to_clean_variance_ratio,4.87752026117
S03,BOR,artifact_to_clean_variance_ratio,12.1673091976
S04,BOR,artifact_to_clean_variance_ratio,2.92369627286
S05,BOR,artifact_to_clean_variance_ratio,83.3463028438
S06,BOR,artifact_to_clean_variance_ratio,5.96379981845
S07,BOR,artifact_to_clean_variance_ratio,4.36880047669
S08,BOR,artifact_to_clean_variance_ratio,20.4928178319
S01,CLC,artifact_to_clean_variance_ratio,15.8154422867
S02,CLC,artifact_to_clean_variance_ratio,3.39026999071
S03,CLC,artifact_to_clean_variance_ratio,11.1851231353
S04,CLC,artifact_to_clean_variance_ratio,3.94643570228
S05,CLC,artifact_to_clean_variance_ratio,7.49321254111
S06,CLC,artifact_to_clean_variance_ratio,6.04349443444
S07,CLC,artifact_to_clean_variance_ratio,7.47986530904
S08,CLC,artifact_to_clean_variance_ratio,11.9975152782
S01,INT,artifact_to_clean_variance_ratio,7.76101997942
S02,INT,artifact_to_clean_variance_ratio,7.49110803935
S03,INT,artifact_to_clean_variance_ratio,9.74028765948
S04,INT,artifact_to_clean_variance_ratio,3.53520821506
S05,INT,artifact_to_clean_variance_ratio,60.3112574019
S06,INT,artifact_to_clean_variance_ratio,10.859589216
S07,INT,artifact_to_clean_variance_ratio,28.5459226885
S08,INT,artifact_to_clean_variance_ratio,7.57176592271
(cohort),(all),friedman_p:EEG DMN power (alpha+theta),0.196911675204
(cohort),(all),friedman_p:EEG parietal alpha,0.223130160148
(cohort),(all),friedman_p:EEG frontal alpha,0.416862019679
(cohort),(all),friedman_p:EEG parietal theta,0.687289278791
(cohort),(all),friedman_p:EEG frontal theta,0.882496902585
