baseline,subject,stimulus,value
forward,R2-01,BOR,10.3674318998
forward,R2-01,CLC,9.94038766056
forward,R2-01,INT,9.16683540488
forward,R2-02,BOR,11.7541703009
forward,R2-02,CLC,9.01873745134
forward,R2-02,INT,10.463958266
forward,R2-03,BOR,10.987646576
forward,R2-03,CLC,9.66128945109
forward,R2-03,INT,13.6236949082
forward,R2-04,BOR,8.68092190582
forward,R2-04,CLC,7.87290470723
forward,R2-04,INT,6.38837779251
forward,S01,BOR,15.3543968349
forward,S01,CLC,7.08569107679
forward,S01,INT,9.19540975616
forward,S02,BOR,13.2915798551
forward,S02,CLC,10.5781568018
forward,S02,INT,14.4113764103
forward,S03,BOR,11.2522449133
forward,S03,CLC,11.5521456789
forward,S03,INT,10.3992882175
forward,S04,BOR,14.7654437423
forward,S04,CLC,16.0855301185
forward,S04,INT,12.285310819
forward,S05,BOR,11.2384910776
forward,S05,CLC,9.16401981223
forward,S05,INT,12.3392569554
forward,S06,BOR,20.1677068393
forward,S06,CLC,18.8398235053
forward,S06,INT,10.3553608906
forward,S07,BOR,13.6468679207
forward,S07,CLC,6.74802970029
forward,S07,INT,11.0763611109
forward,S08,BOR,14.7488036004
forward,S08,CLC,6.9558631527
forward,S08,INT,10.2664179002
file,R2-01,BOR,10.3228259309
file,R2-01,CLC,9.68911917591
file,R2-01,INT,8.1949826344
file,R2-02,BOR,11.2682251372
file,R2-02,CLC,8.05943593619
file,R2-02,INT,8.5753356659
file,R2-03,BOR,7.53598623463
file,R2-03,CLC,6.95410693035
file,R2-03,INT,6.96933605704
file,R2-04,BOR,6.99954431781
file,R2-04,CLC,6.30281014664
file,R2-04,INT,6.01256531367
file,S01,BOR,8.67106147658
file,S01,CLC,6.95378767323
file,S01,INT,7.80660633667
file,S02,BOR,10.5052548397
file,S02,CLC,9.57757293335
file,S02,INT,9.54425971485
file,S03,BOR,11.2068374841
file,S03,CLC,10.9880051438
file,S03,INT,9.70899690535
file,S04,BOR,11.6657968364
file,S04,CLC,16.2394468077
file,S04,INT,11.242176632
file,S05,BOR,9.3865268359
file,S05,CLC,7.44278162064
file,S05,INT,7.54796269426
file,S06,BOR,13.6970379696
file,S06,CLC,18.2625962139
file,S06,INT,9.67901435802
file,S07,BOR,11.8152578194
file,S07,CLC,6.69125560582
file,S07,INT,10.5380759153
file,S08,BOR,5.52077738725
file,S08,CLC,6.66781196408
file,S08,INT,9.79241449414
subject,R2-01,BOR,10.7083228008
subject,R2-01,CLC,9.99599778383
subject,R2-01,INT,8.13228802112
subject,R2-02,BOR,11.1805812257
subject,R2-02,CLC,8.29816141017
subject,R2-02,INT,8.54087175797
subject,R2-03,BOR,10.6288196419
subject,R2-03,CLC,6.87881118034
subject,R2-03,INT,7.48765492207
subject,R2-04,BOR,7.78806719228
subject,R2-04,CLC,6.79783939273
subject,R2-04,INT,6.25919515022
subject,S01,BOR,10.7339611622
subject,S01,CLC,8.29118058993
subject,S01,INT,8.07988877677
subject,S02,BOR,10.5333205939
subject,S02,CLC,10.8068922716
subject,S02,INT,9.26262392629
subject,S03,BOR,11.2137502109
subject,S03,CLC,11.0115119159
subject,S03,INT,9.76451555384
subject,S04,BOR,12.744219688
subject,S04,CLC,16.0377217766
subject,S04,INT,11.2736350221
subject,S05,BOR,9.53408217079
subject,S05,CLC,12.9314704176
subject,S05,INT,8.78428934969
subject,S06,BOR,17.5177205976
subject,S06,CLC,18.2109131392
subject,S06,INT,9.76493483232
subject,S07,BOR,11.6988509166
subject,S07,CLC,7.0444629104
subject,S07,INT,10.6451286264
subject,S08,BOR,13.4519568928
subject,S08,CLC,7.48476223067
subject,S08,INT,10.2649770983
