subject,stimulus,round,variant,window,signal,stat,value
R2-01,BOR,2,native,full,cognitive_load,delta_last_first_third,0.0410200367925
R2-01,BOR,2,native,full,cognitive_load,max,0.8557512
R2-01,BOR,2,native,full,cognitive_load,mean,0.529869192779
R2-01,BOR,2,native,full,cognitive_load,median,0.55568
R2-01,BOR,2,native,full,cognitive_load,min,0.1354035
R2-01,BOR,2,native,full,cognitive_load,sd,0.14765126424
R2-01,BOR,2,native,full,cognitive_load,slope,2.70360184413e-05
R2-01,BOR,2,native,full,cognitive_load,third1,0.51467227217
R2-01,BOR,2,native,full,cognitive_load,third2,0.518835831604
R2-01,BOR,2,native,full,cognitive_load,third3,0.5559763277
R2-01,BOR,2,native,full,eye_gaze_deviation,delta_last_first_third,0.0265148717563
R2-01,BOR,2,native,full,eye_gaze_deviation,max,0.649917793546
R2-01,BOR,2,native,full,eye_gaze_deviation,mean,0.200135901749
R2-01,BOR,2,native,full,eye_gaze_deviation,median,0.179169320734
R2-01,BOR,2,native,full,eye_gaze_deviation,min,0.0163831109971
R2-01,BOR,2,native,full,eye_gaze_deviation,sd,0.110283256625
R2-01,BOR,2,native,full,eye_gaze_deviation,slope,3.27873888361e-05
R2-01,BOR,2,native,full,eye_gaze_deviation,third1,0.180604470741
R2-01,BOR,2,native,full,eye_gaze_deviation,third2,0.212683892008
R2-01,BOR,2,native,full,eye_gaze_deviation,third3,0.207119342497
R2-01,BOR,2,native,full,eye_openness,third1,0.8962970186
R2-01,BOR,2,native,full,eye_openness,third2,0.89640671851
R2-01,BOR,2,native,full,eye_openness,third3,0.654730273261
R2-01,BOR,2,native,full,hr,delta_last_first_third,
R2-01,BOR,2,native,full,hr,max,
R2-01,BOR,2,native,full,hr,mean,
R2-01,BOR,2,native,full,hr,median,
R2-01,BOR,2,native,full,hr,min,
R2-01,BOR,2,native,full,hr,sd,
R2-01,BOR,2,native,full,hr,slope,
R2-01,BOR,2,native,full,hr,third1,
R2-01,BOR,2,native,full,hr,third2,
R2-01,BOR,2,native,full,hr,third3,
R2-01,BOR,2,native,full,left_eye_dilation,delta_last_first_third,-0.158167498369
R2-01,BOR,2,native,full,left_eye_dilation,max,4.561218
R2-01,BOR,2,native,full,left_eye_dilation,mean,2.86919818552
R2-01,BOR,2,native,full,left_eye_dilation,median,2.822662
R2-01,BOR,2,native,full,left_eye_dilation,min,1.820053
R2-01,BOR,2,native,full,left_eye_dilation,sd,0.30057135064
R2-01,BOR,2,native,full,left_eye_dilation,slope,-0.000169917886363
R2-01,BOR,2,native,full,left_eye_dilation,third1,2.94627270515
R2-01,BOR,2,native,full,left_eye_dilation,third2,2.87321438212
R2-01,BOR,2,native,full,left_eye_dilation,third3,2.78811241461
R2-01,BOR,2,native,full,right_eye_dilation,delta_last_first_third,-0.176050320734
R2-01,BOR,2,native,full,right_eye_dilation,max,4.169586
R2-01,BOR,2,native,full,right_eye_dilation,mean,2.74193561003
R2-01,BOR,2,native,full,right_eye_dilation,median,2.666656
R2-01,BOR,2,native,full,right_eye_dilation,min,2.008774
R2-01,BOR,2,native,full,right_eye_dilation,sd,0.327310165696
R2-01,BOR,2,native,full,right_eye_dilation,slope,-0.000172743130936
R2-01,BOR,2,native,full,right_eye_dilation,third1,2.83829676639
R2-01,BOR,2,native,full,right_eye_dilation,third2,2.72526646021
R2-01,BOR,2,native,full,right_eye_dilation,third3,2.6622460604
R2-01,BOR,2,native,r1matched,cognitive_load,delta_last_first_third,0.11802265
R2-01,BOR,2,native,r1matched,cognitive_load,max,0.8557512
R2-01,BOR,2,native,r1matched,cognitive_load,mean,0.528422553578
R2-01,BOR,2,native,r1matched,cognitive_load,median,0.5591986
R2-01,BOR,2,native,r1matched,cognitive_load,min,0.1354035
R2-01,BOR,2,native,r1matched,cognitive_load,sd,0.149193754865
R2-01,BOR,2,native,r1matched,cognitive_load,slope,0.000262118318987
R2-01,BOR,2,native,r1matched,cognitive_load,third1,0.465729989535
R2-01,BOR,2,native,r1matched,cognitive_load,third2,0.535428802907
R2-01,BOR,2,native,r1matched,cognitive_load,third3,0.583786982081
R2-01,BOR,2,native,r1matched,eye_gaze_deviation,delta_last_first_third,0.0365511328842
R2-01,BOR,2,native,r1matched,eye_gaze_deviation,max,0.577732742426
R2-01,BOR,2,native,r1matched,eye_gaze_deviation,mean,0.212634444937
