rcode,term,attempt,q1,q2,q3,q7,q8,q11,q12,q13,q14,n_correct,score
W25-R001,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,2.8
W25-R002,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,"Asian,Hispanic or Latina/o,White",Man,No,Junior,11,3.0
W25-R003,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Senior,9,2.8
W25-R004,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,"Middle Eastern or North African,White",Woman,Yes,Junior,10,3.0
W25-R005,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,White,Woman,No,Sophomore,9,3.0
W25-R006,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,Yes,Asian,Man,No,Sophomore,11,2.8
W25-R007,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Asian,Hispanic or Latina/o,White",Man,No,Junior,11,3.0
W25-R008,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Prefer Not to Say,Yes,Junior,11,3.0
W25-R009,W25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,2.8
W25-R010,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,No,Junior,11,3.0
W25-R011,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Junior,12,3.0
W25-R012,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,10,3.0
W25-R013,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,3.0
W25-R014,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,"Hispanic or Latina/o,White",Man,No,Junior,11,3.0
W25-R015,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Woman,No,Junior,11,2.8
W25-R016,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,3.0
W25-R017,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,White,Woman,No,Junior,11,3.0
W25-R018,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",No,I utilized the YouTube videos only,"Asian,White",Woman,No,Junior,10,2.8
W25-R019,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,10,2.8
W25-R020,W25,1,G-Finder,True,"Leprosy,Hepatitis B,Dengue,Malaria",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,9,1.8
W25-R021,W25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,Yes,Freshman,10,2.8
W25-R022,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W25-R023,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Middle Eastern or North African,White",Woman,No,Senior,10,2.8
W25-R024,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Woman,Yes,Senior,11,2.8
W25-R025,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Hispanic or Latina/o,Woman,No,Junior,11,3.0
W25-R026,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,Native Hawaiian or Other Pacific Islander",Man,No,Junior,12,3.0
W25-R027,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Native Hawaiian or Other Pacific Islander,Woman,No,Junior,10,3.0
W25-R028,W25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Man,Yes,Junior,12,2.4
W25-R029,W25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,11,2.8
W25-R030,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Woman,No,Junior,11,3.0
W25-R031,W25,1,G-Finder,False,"Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Asian,Hispanic or Latina/o",Woman,No,Sophomore,10,2.6
W25-R032,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,No,Senior,10,3.0
W25-R033,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W25-R034,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Sophomore,11,3.0
W25-R035,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Sophomore,9,3.0
W25-R036,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Junior,12,3.0
W25-R037,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Man,Yes,Junior,10,3.0
W25-R038,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W25-R039,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,Yes,Junior,11,3.0
W25-R040,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,Yes,Junior,11,3.0
W25-R041,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Man,No,Junior,10,3.0
W25-R042,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
W25-R043,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,Yes,Asian,Woman,Yes,Junior,12,2.8
W25-R044,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Middle Eastern or North African,Man,No,Junior,12,3.0
W25-R045,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,White,Woman,No,Junior,10,3.0
W25-R046,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Hispanic or Latina/o,White",Man,Yes,Junior,11,3.0
W25-R047,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",,,,,,,8,3.0
W25-R048,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W25-R049,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria",Yes,Yes,White,Man,No,Junior,12,2.6
W25-R050,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Man,Yes,Junior,10,3.0
W25-R051,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Woman,Yes,Junior,12,3.0
W25-R052,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Senior,11,3.0
W25-R053,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
W25-R054,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Woman,No,Sophomore,10,3.0
W25-R055,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,10,2.8
W25-R056,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,2.8
W25-R057,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,White,Man,No,Junior,12,3.0
W25-R058,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,3.0
W25-R059,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,10,3.0
W25-R060,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,10,3.0
W25-R061,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,White,Man,No,Junior,11,2.8
W25-R062,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,"Asian,White",Man,No,Junior,10,3.0
W25-R063,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,American Indian or Alaska Native,Woman,No,Junior,11,3.0
W25-R064,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"American Indian or Alaska Native,Hispanic or Latina/o",Man,Yes,Junior,12,3.0
W25-R065,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,Yes,Junior,11,3.0
W25-R066,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,No,Junior,11,3.0
W25-R067,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,3.0
W25-R068,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,3.0
W25-R069,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,10,3.0
W25-R070,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Hispanic or Latina/o,White",Woman,No,Junior,11,3.0
W25-R071,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,White,Man,No,Junior,11,3.0
W25-R072,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Sophomore,11,2.8
W25-R073,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,Yes,Senior,10,2.8
W25-R074,W25,1,G-Finder,False,"Leprosy,Dengue",Yes,Yes,Hispanic or Latina/o,Woman,Yes,Junior,12,2.4
W25-R075,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Man,No,Junior,11,2.8
W25-R076,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Senior,9,3.0
W25-R077,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Hispanic or Latina/o,Woman,Yes,Junior,11,3.0
W25-R078,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria",Yes,I utilized the YouTube videos only,Asian,Woman,No,Junior,11,2.6
W25-R079,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Black,Hispanic or Latina/o",Woman,Yes,Junior,12,3.0
W25-R080,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,3.0
